   Elapsed time	 RESP, 	PLETH, 	    V, 	  AVR, 	   II, 
       0:03.456	  0.830	  0.388	  0.575	  0.535	  0.371
       0:03.464	  0.840	  0.397	  0.590	  0.539	  0.371
       0:03.472	  0.851	  0.409	  0.571	  0.539	  0.375
       0:03.480	  0.862	  0.425	  0.545	  0.555	  0.335
       0:03.488	  0.875	  0.441	  0.506	  0.565	  0.320
       0:03.496	  0.888	  0.457	  0.500	  0.565	  0.335
       0:03.504	  0.899	  0.477	  0.490	  0.561	  0.339
       0:03.512	  0.912	  0.496	  0.500	  0.571	  0.345
       0:03.520	  0.923	  0.513	  0.500	  0.580	  0.324
       0:03.528	  0.935	  0.530	  0.520	  0.575	  0.324
       0:03.536	  0.947	  0.544	  0.535	  0.590	  0.304
       0:03.544	  0.960	  0.554	  0.520	  0.596	  0.300
       0:03.552	  0.975	  0.564	  0.500	  0.584	  0.310
       0:03.560	  0.988	  0.571	  0.516	  0.590	  0.310
       0:03.568	  0.994	  0.574	  0.584	  0.606	  0.290
       0:03.576	  1.000	  0.576	  0.680	  0.616	  0.255
       0:03.584	  1.000	  0.577	  0.571	  0.394	  0.651
       0:03.592	  1.000	  0.577	  0.069	 -0.147	  1.504
       0:03.600	  1.000	  0.577	 -0.427	 -0.392	  1.504
       0:03.608	  1.000	  0.574	 -0.433	  0.059	  1.463
       0:03.616	  1.000	  0.570	  0.304	  0.535	  0.506
       0:03.624	  1.000	  0.562	  0.506	  0.606	  0.329
       0:03.632	  1.000	  0.551	  0.529	  0.561	  0.359
       0:03.640	  1.000	  0.540	  0.539	  0.545	  0.365
       0:03.648	  1.000	  0.527	  0.555	  0.545	  0.371
       0:03.656	  1.000	  0.515	  0.561	  0.545	  0.359
       0:03.664	  1.000	  0.504	  0.580	  0.561	  0.335
       0:03.672	  1.000	  0.497	  0.584	  0.555	  0.335
       0:03.680	  1.000	  0.490	  0.565	  0.545	  0.349
       0:03.688	  1.000	  0.485	  0.535	  0.535	  0.371
       0:03.696	  1.000	  0.480	  0.535	  0.525	  0.380
       0:03.704	  1.000	  0.477	  0.535	  0.520	  0.400
       0:03.712	  1.000	  0.475	  0.535	  0.516	  0.394
       0:03.720	  1.000	  0.473	  0.520	  0.510	  0.404
       0:03.728	  1.000	  0.470	  0.510	  0.506	  0.420
       0:03.736	  1.000	  0.469	  0.500	  0.500	  0.425
       0:03.744	  1.000	  0.467	  0.516	  0.490	  0.429
       0:03.752	  1.000	  0.465	  0.510	  0.475	  0.455
       0:03.760	  1.000	  0.463	  0.510	  0.449	  0.494
       0:03.768	  1.000	  0.460	  0.494	  0.429	  0.529
       0:03.776	  1.000	  0.458	  0.475	  0.404	  0.575
       0:03.784	  1.000	  0.456	  0.455	  0.371	  0.635
       0:03.792	  1.000	  0.453	  0.449	  0.329	  0.696
       0:03.800	  1.000	  0.449	  0.439	  0.290	  0.761
       0:03.808	  1.000	  0.445	  0.439	  0.265	  0.790
       0:03.816	  1.000	  0.440	  0.439	  0.245	  0.826
       0:03.824	  1.000	  0.436	  0.435	  0.249	  0.812
       0:03.832	  1.000	  0.432	  0.445	  0.265	  0.796
       0:03.840	  1.000	  0.427	  0.439	  0.284	  0.761
       0:03.848	  1.000	  0.422	  0.449	  0.320	  0.706
       0:03.856	  1.000	  0.417	  0.455	  0.365	  0.635
       0:03.864	  1.000	  0.414	  0.461	  0.404	  0.580
       0:03.872	  1.000	  0.411	  0.461	  0.449	  0.506
       0:03.880	  1.000	  0.408	  0.465	  0.480	  0.461
       0:03.888	  1.000	  0.407	  0.475	  0.516	  0.404
       0:03.896	  1.000	  0.406	  0.490	  0.535	  0.380
       0:03.904	  1.000	  0.405	  0.500	  0.545	  0.355
       0:03.912	  1.000	  0.405	  0.506	  0.551	  0.345
       0:03.920	  0.992	  0.404	  0.506	  0.561	  0.335
       0:03.928	  0.983	  0.402	  0.510	  0.565	  0.329
       0:03.936	  0.962	  0.400	  0.500	  0.565	  0.335
       0:03.944	  0.940	  0.400	  0.510	  0.561	  0.335
       0:03.952	  0.915	  0.399	  0.500	  0.555	  0.345
       0:03.960	  0.891	  0.399	  0.500	  0.545	  0.355
       0:03.968	  0.862	  0.399	  0.500	  0.545	  0.359
       0:03.976	  0.835	  0.399	  0.500	  0.535	  0.355
       0:03.984	  0.809	  0.399	  0.500	  0.535	  0.380
       0:03.992	  0.783	  0.400	  0.500	  0.535	  0.380
       0:04.000	  0.759	  0.398	  0.500	  0.525	  0.390
       0:04.008	  0.734	  0.396	  0.490	  0.520	  0.404
       0:04.016	  0.709	  0.394	  0.494	  0.525	  0.394
       0:04.024	  0.683	  0.392	  0.490	  0.520	  0.400
       0:04.032	  0.657	  0.389	  0.494	  0.525	  0.394
       0:04.040	  0.630	  0.386	  0.494	  0.520	  0.404
       0:04.048	  0.605	  0.383	  0.500	  0.525	  0.390
       0:04.056	  0.579	  0.381	  0.500	  0.535	  0.380
       0:04.064	  0.554	  0.379	  0.510	  0.545	  0.365
       0:04.072	  0.530	  0.380	  0.510	  0.545	  0.359
       0:04.080	  0.508	  0.382	  0.520	  0.529	  0.380
       0:04.088	  0.487	  0.385	  0.535	  0.520	  0.400
       0:04.096	  0.468	  0.391	  0.555	  0.520	  0.410
       0:04.104	  0.449	  0.401	  0.571	  0.516	  0.400
       0:04.112	  0.433	  0.413	  0.575	  0.510	  0.410
       0:04.120	  0.416	  0.430	  0.535	  0.520	  0.384
       0:04.128	  0.403	  0.450	  0.539	  0.545	  0.355
       0:04.136	  0.388	  0.471	  0.490	  0.539	  0.349
       0:04.144	  0.377	  0.492	  0.471	  0.545	  0.345
       0:04.152	  0.367	  0.510	  0.449	  0.539	  0.375
       0:04.160	  0.358	  0.527	  0.449	  0.545	  0.365
       0:04.168	  0.350	  0.541	  0.461	  0.545	  0.371
       0:04.176	  0.343	  0.551	  0.475	  0.551	  0.359
       0:04.184	  0.336	  0.559	  0.480	  0.571	  0.345
       0:04.192	  0.331	  0.565	  0.475	  0.571	  0.339
       0:04.200	  0.326	  0.569	  0.480	  0.571	  0.339
       0:04.208	  0.324	  0.573	  0.475	  0.565	  0.339
       0:04.216	  0.321	  0.575	  0.580	  0.590	  0.274
       0:04.224	  0.319	  0.576	  0.610	  0.596	  0.265
       0:04.232	  0.317	  0.576	  0.310	  0.233	  0.941
       0:04.240	  0.315	  0.575	 -0.412	 -0.312	  1.504
       0:04.248	  0.313	  0.571	 -0.502	 -0.408	  1.504
       0:04.256	  0.312	  0.565	 -0.247	  0.239	  1.106
       0:04.264	  0.311	  0.558	  0.245	  0.525	  0.480
       0:04.272	  0.309	  0.548	  0.390	  0.539	  0.420
       0:04.280	  0.308	  0.538	  0.461	  0.529	  0.384
       0:04.288	  0.306	  0.529	  0.500	  0.551	  0.355
       0:04.296	  0.304	  0.520	  0.535	  0.561	  0.329
       0:04.304	  0.303	  0.509	  0.539	  0.571	  0.320
       0:04.312	  0.302	  0.500	  0.529	  0.555	  0.329
       0:04.320	  0.300	  0.494	  0.520	  0.545	  0.349
       0:04.328	  0.299	  0.488	  0.525	  0.539	  0.345
       0:04.336	  0.298	  0.483	  0.516	  0.529	  0.365
       0:04.344	  0.296	  0.481	  0.520	  0.525	  0.375
       0:04.352	  0.295	  0.480	  0.535	  0.535	  0.371
       0:04.360	  0.293	  0.479	  0.545	  0.520	  0.380
       0:04.368	  0.293	  0.479	  0.529	  0.520	  0.390
       0:04.376	  0.293	  0.477	  0.525	  0.516	  0.404
       0:04.384	  0.294	  0.474	  0.520	  0.500	  0.420
       0:04.392	  0.295	  0.471	  0.525	  0.490	  0.439
       0:04.400	  0.296	  0.466	  0.520	  0.475	  0.465
       0:04.408	  0.297	  0.461	  0.520	  0.455	  0.490
       0:04.416	  0.299	  0.457	  0.520	  0.420	  0.539
       0:04.424	  0.301	  0.452	  0.520	  0.400	  0.580
       0:04.432	  0.304	  0.447	  0.529	  0.375	  0.625
       0:04.440	  0.308	  0.442	  0.520	  0.335	  0.686
       0:04.448	  0.313	  0.437	  0.525	  0.314	  0.706
       0:04.456	  0.317	  0.433	  0.520	  0.294	  0.741
       0:04.464	  0.322	  0.430	  0.529	  0.284	  0.751
       0:04.472	  0.326	  0.426	  0.525	  0.278	  0.767
       0:04.480	  0.329	  0.423	  0.535	  0.284	  0.751
       0:04.488	  0.333	  0.421	  0.525	  0.310	  0.710
       0:04.496	  0.338	  0.419	  0.525	  0.345	  0.655
       0:04.504	  0.343	  0.416	  0.510	  0.380	  0.610
       0:04.512	  0.348	  0.414	  0.506	  0.420	  0.555
       0:04.520	  0.353	  0.413	  0.500	  0.455	  0.494
       0:04.528	  0.357	  0.413	  0.506	  0.490	  0.439
       0:04.536	  0.361	  0.412	  0.510	  0.510	  0.404
       0:04.544	  0.364	  0.412	  0.520	  0.520	  0.394
       0:04.552	  0.367	  0.412	  0.520	  0.529	  0.380
       0:04.560	  0.368	  0.412	  0.525	  0.535	  0.375
       0:04.568	  0.370	  0.412	  0.529	  0.535	  0.359
       0:04.576	  0.370	  0.412	  0.520	  0.535	  0.371
       0:04.584	  0.370	  0.411	  0.529	  0.539	  0.365
       0:04.592	  0.369	  0.410	  0.535	  0.535	  0.371
       0:04.600	  0.367	  0.410	  0.529	  0.535	  0.365
       0:04.608	  0.363	  0.410	  0.529	  0.535	  0.380
       0:04.616	  0.359	  0.410	  0.535	  0.525	  0.384
       0:04.624	  0.355	  0.410	  0.529	  0.525	  0.390
       0:04.632	  0.351	  0.411	  0.525	  0.525	  0.394
       0:04.640	  0.346	  0.411	  0.520	  0.525	  0.400
       0:04.648	  0.341	  0.414	  0.529	  0.520	  0.400
       0:04.656	  0.333	  0.419	  0.520	  0.520	  0.394
       0:04.664	  0.326	  0.421	  0.520	  0.510	  0.410
       0:04.672	  0.317	  0.422	  0.520	  0.516	  0.410
       0:04.680	  0.307	  0.422	  0.525	  0.516	  0.404
       0:04.688	  0.295	  0.422	  0.525	  0.520	  0.400
       0:04.696	  0.284	  0.422	  0.525	  0.520	  0.394
       0:04.704	  0.272	  0.422	  0.520	  0.525	  0.390
       0:04.712	  0.260	  0.423	  0.525	  0.525	  0.380
       0:04.720	  0.249	  0.425	  0.535	  0.520	  0.390
       0:04.728	  0.239	  0.430	  0.555	  0.510	  0.410
       0:04.736	  0.229	  0.441	  0.571	  0.500	  0.429
       0:04.744	  0.219	  0.456	  0.580	  0.494	  0.439
       0:04.752	  0.209	  0.474	  0.565	  0.494	  0.435
       0:04.760	  0.200	  0.496	  0.545	  0.500	  0.420
       0:04.768	  0.192	  0.518	  0.525	  0.506	  0.400
       0:04.776	  0.183	  0.540	  0.506	  0.510	  0.404
       0:04.784	  0.176	  0.558	  0.475	  0.516	  0.416
       0:04.792	  0.169	  0.573	  0.471	  0.500	  0.439
       0:04.800	  0.163	  0.586	  0.475	  0.506	  0.429
       0:04.808	  0.158	  0.596	  0.490	  0.510	  0.429
       0:04.816	  0.153	  0.605	  0.500	  0.516	  0.425
       0:04.824	  0.150	  0.613	  0.516	  0.520	  0.420
       0:04.832	  0.147	  0.618	  0.520	  0.520	  0.416
       0:04.840	  0.143	  0.620	  0.516	  0.520	  0.425
       0:04.848	  0.140	  0.621	  0.520	  0.516	  0.429
       0:04.856	  0.137	  0.622	  0.596	  0.539	  0.365
       0:04.864	  0.134	  0.622	  0.645	  0.545	  0.355
       0:04.872	  0.131	  0.621	  0.400	  0.210	  0.992
       0:04.880	  0.128	  0.618	 -0.273	 -0.343	  1.504
       0:04.888	  0.125	  0.613	 -0.502	 -0.447	  1.504
       0:04.896	  0.122	  0.607	 -0.127	  0.214	  1.147
       0:04.904	  0.119	  0.599	  0.339	  0.520	  0.510
       0:04.912	  0.114	  0.589	  0.480	  0.525	  0.435
       0:04.920	  0.110	  0.580	  0.520	  0.506	  0.425
       0:04.928	  0.106	  0.568	  0.551	  0.520	  0.404
       0:04.936	  0.100	  0.555	  0.571	  0.525	  0.384
       0:04.944	  0.096	  0.543	  0.584	  0.539	  0.365
       0:04.952	  0.091	  0.531	  0.580	  0.539	  0.359
       0:04.960	  0.086	  0.521	  0.565	  0.529	  0.380
       0:04.968	  0.082	  0.513	  0.551	  0.535	  0.375
       0:04.976	  0.076	  0.507	  0.561	  0.520	  0.384
       0:04.984	  0.070	  0.502	  0.545	  0.520	  0.390
       0:04.992	  0.063	  0.500	  0.539	  0.520	  0.400
       0:05.000	  0.055	  0.499	  0.551	  0.510	  0.404
       0:05.008	  0.048	  0.497	  0.539	  0.500	  0.420
       0:05.016	  0.040	  0.495	  0.529	  0.500	  0.429
       0:05.024	  0.033	  0.494	  0.525	  0.494	  0.445
       0:05.032	  0.026	  0.492	  0.535	  0.490	  0.449
       0:05.040	  0.022	  0.488	  0.525	  0.471	  0.475
       0:05.048	  0.016	  0.484	  0.529	  0.449	  0.510
       0:05.056	  0.012	  0.480	  0.520	  0.429	  0.535
       0:05.064	  0.008	  0.476	  0.520	  0.404	  0.571
       0:05.072	  0.006	  0.472	  0.506	  0.371	  0.629
       0:05.080	  0.003	  0.468	  0.500	  0.335	  0.680
       0:05.088	  0.003	  0.464	  0.500	  0.314	  0.710
       0:05.096	  0.002	  0.459	  0.500	  0.300	  0.731
       0:05.104	  0.003	  0.456	  0.484	  0.290	  0.745
       0:05.112	  0.004	  0.452	  0.490	  0.290	  0.745
       0:05.120	  0.006	  0.448	  0.480	  0.304	  0.725
       0:05.128	  0.009	  0.444	  0.494	  0.320	  0.696
       0:05.136	  0.013	  0.441	  0.500	  0.355	  0.641
       0:05.144	  0.018	  0.436	  0.500	  0.384	  0.580
       0:05.152	  0.024	  0.431	  0.490	  0.435	  0.520
       0:05.160	  0.031	  0.427	  0.500	  0.475	  0.461
       0:05.168	  0.040	  0.424	  0.500	  0.516	  0.400
       0:05.176	  0.050	  0.421	  0.520	  0.539	  0.371
       0:05.184	  0.062	  0.418	  0.520	  0.545	  0.349
       0:05.192	  0.073	  0.417	  0.529	  0.561	  0.335
       0:05.200	  0.084	  0.414	  0.535	  0.571	  0.314
       0:05.208	  0.096	  0.413	  0.529	  0.575	  0.304
       0:05.216	  0.108	  0.410	  0.525	  0.571	  0.310
       0:05.224	  0.119	  0.408	  0.520	  0.571	  0.310
       0:05.232	  0.133	  0.407	  0.520	  0.575	  0.310
       0:05.240	  0.147	  0.407	  0.516	  0.571	  0.324
       0:05.248	  0.160	  0.407	  0.506	  0.555	  0.335
       0:05.256	  0.175	  0.409	  0.500	  0.561	  0.329
       0:05.264	  0.188	  0.411	  0.516	  0.555	  0.335
       0:05.272	  0.201	  0.413	  0.510	  0.565	  0.339
       0:05.280	  0.213	  0.414	  0.525	  0.551	  0.349
       0:05.288	  0.225	  0.415	  0.520	  0.565	  0.335
       0:05.296	  0.238	  0.416	  0.516	  0.551	  0.345
       0:05.304	  0.250	  0.416	  0.510	  0.555	  0.345
       0:05.312	  0.263	  0.415	  0.516	  0.565	  0.329
       0:05.320	  0.276	  0.414	  0.506	  0.561	  0.335
       0:05.328	  0.289	  0.413	  0.510	  0.555	  0.335
       0:05.336	  0.302	  0.412	  0.506	  0.571	  0.310
       0:05.344	  0.316	  0.411	  0.500	  0.565	  0.329
       0:05.352	  0.329	  0.411	  0.506	  0.551	  0.355
       0:05.360	  0.341	  0.412	  0.535	  0.555	  0.349
       0:05.368	  0.354	  0.414	  0.551	  0.551	  0.355
       0:05.376	  0.365	  0.420	  0.565	  0.539	  0.349
       0:05.384	  0.376	  0.428	  0.571	  0.529	  0.355
       0:05.392	  0.388	  0.439	  0.539	  0.555	  0.320
       0:05.400	  0.401	  0.454	  0.500	  0.565	  0.310
       0:05.408	  0.413	  0.472	  0.494	  0.571	  0.310
       0:05.416	  0.427	  0.492	  0.471	  0.571	  0.310
       0:05.424	  0.440	  0.510	  0.449	  0.555	  0.329
       0:05.432	  0.452	  0.529	  0.455	  0.565	  0.320
       0:05.440	  0.464	  0.544	  0.461	  0.571	  0.320
       0:05.448	  0.476	  0.558	  0.475	  0.561	  0.329
       0:05.456	  0.490	  0.569	  0.475	  0.580	  0.300
       0:05.464	  0.502	  0.577	  0.480	  0.571	  0.314
       0:05.472	  0.517	  0.584	  0.475	  0.575	  0.314
       0:05.480	  0.533	  0.588	  0.494	  0.575	  0.324
       0:05.488	  0.548	  0.589	  0.580	  0.606	  0.259
       0:05.496	  0.564	  0.590	  0.584	  0.475	  0.494
       0:05.504	  0.580	  0.590	  0.159	  0.004	  1.357
       0:05.512	  0.596	  0.589	 -0.443	 -0.433	  1.504
       0:05.520	  0.610	  0.587	 -0.502	 -0.147	  1.504
       0:05.528	  0.625	  0.583	  0.114	  0.449	  0.680
       0:05.536	  0.637	  0.577	  0.429	  0.620	  0.300
       0:05.544	  0.650	  0.570	  0.475	  0.571	  0.329
       0:05.552	  0.664	  0.560	  0.490	  0.555	  0.335
       0:05.560	  0.677	  0.548	  0.520	  0.565	  0.314
       0:05.568	  0.692	  0.537	  0.520	  0.584	  0.284
       0:05.576	  0.708	  0.524	  0.529	  0.584	  0.284
       0:05.584	  0.720	  0.513	  0.520	  0.571	  0.310
       0:05.592	  0.734	  0.505	  0.506	  0.565	  0.320
       0:05.600	  0.747	  0.499	  0.484	  0.565	  0.314
       0:05.608	  0.761	  0.493	  0.490	  0.561	  0.320
       0:05.616	  0.774	  0.487	  0.494	  0.571	  0.329
       0:05.624	  0.788	  0.483	  0.500	  0.555	  0.339
       0:05.632	  0.803	  0.481	  0.506	  0.545	  0.355
       0:05.640	  0.818	  0.480	  0.494	  0.529	  0.375
       0:05.648	  0.834	  0.479	  0.494	  0.520	  0.390
       0:05.656	  0.849	  0.478	  0.490	  0.510	  0.404
       0:05.664	  0.866	  0.474	  0.500	  0.484	  0.445
       0:05.672	  0.882	  0.470	  0.494	  0.461	  0.480
       0:05.680	  0.896	  0.466	  0.484	  0.445	  0.510
       0:05.688	  0.911	  0.462	  0.475	  0.425	  0.551
       0:05.696	  0.925	  0.457	  0.461	  0.384	  0.606
       0:05.704	  0.937	  0.453	  0.449	  0.355	  0.661
       0:05.712	  0.952	  0.449	  0.449	  0.329	  0.710
       0:05.720	  0.967	  0.445	  0.445	  0.300	  0.745
       0:05.728	  0.981	  0.441	  0.449	  0.284	  0.767
       0:05.736	  0.997	  0.436	  0.449	  0.284	  0.771
       0:05.744	  0.998	  0.431	  0.455	  0.290	  0.755
       0:05.752	  1.000	  0.427	  0.445	  0.310	  0.725
       0:05.760	  1.000	  0.424	  0.461	  0.349	  0.671
       0:05.768	  1.000	  0.421	  0.490	  0.394	  0.600
       0:05.776	  1.000	  0.418	  0.529	  0.449	  0.520
       0:05.784	  1.000	  0.416	  0.555	  0.494	  0.439
       0:05.792	  1.000	  0.414	  0.580	  0.535	  0.380
       0:05.800	  1.000	  0.413	  0.600	  0.565	  0.329
       0:05.808	  1.000	  0.413	  0.616	  0.584	  0.294
       0:05.816	  1.000	  0.413	  0.616	  0.596	  0.274
       0:05.824	  1.000	  0.413	  0.610	  0.606	  0.265
       0:05.832	  1.000	  0.413	  0.616	  0.610	  0.265
       0:05.840	  1.000	  0.414	  0.600	  0.596	  0.269
       0:05.848	  1.000	  0.416	  0.580	  0.590	  0.284
       0:05.856	  1.000	  0.418	  0.571	  0.580	  0.304
       0:05.864	  1.000	  0.420	  0.571	  0.575	  0.314
       0:05.872	  1.000	  0.422	  0.575	  0.571	  0.320
       0:05.880	  1.000	  0.422	  0.584	  0.561	  0.329
       0:05.888	  1.000	  0.423	  0.584	  0.555	  0.345
       0:05.896	  1.000	  0.423	  0.590	  0.551	  0.339
       0:05.904	  1.000	  0.423	  0.575	  0.545	  0.365
       0:05.912	  1.000	  0.423	  0.584	  0.539	  0.375
       0:05.920	  1.000	  0.424	  0.575	  0.535	  0.375
       0:05.928	  1.000	  0.423	  0.580	  0.535	  0.380
       0:05.936	  1.000	  0.422	  0.571	  0.545	  0.365
       0:05.944	  1.000	  0.420	  0.565	  0.545	  0.371
       0:05.952	  1.000	  0.417	  0.555	  0.551	  0.345
       0:05.960	  1.000	  0.415	  0.555	  0.551	  0.339
       0:05.968	  1.000	  0.413	  0.545	  0.555	  0.335
       0:05.976	  1.000	  0.410	  0.539	  0.561	  0.335
       0:05.984	  1.000	  0.409	  0.539	  0.555	  0.339
       0:05.992	  1.000	  0.410	  0.555	  0.535	  0.371
       0:06.000	  1.000	  0.411	  0.571	  0.529	  0.380
       0:06.008	  1.000	  0.413	  0.590	  0.535	  0.380
       0:06.016	  1.000	  0.419	  0.590	  0.529	  0.371
       0:06.024	  1.000	  0.427	  0.571	  0.525	  0.380
       0:06.032	  1.000	  0.437	  0.551	  0.545	  0.339
       0:06.040	  1.000	  0.451	  0.520	  0.555	  0.324
       0:06.048	  1.000	  0.467	  0.500	  0.555	  0.335
       0:06.056	  1.000	  0.486	  0.480	  0.561	  0.339
       0:06.064	  1.000	  0.503	  0.471	  0.545	  0.355
       0:06.072	  1.000	  0.520	  0.465	  0.545	  0.359
       0:06.080	  0.983	  0.534	  0.480	  0.545	  0.349
       0:06.088	  0.967	  0.544	  0.490	  0.561	  0.335
       0:06.096	  0.946	  0.553	  0.500	  0.565	  0.329
       0:06.104	  0.927	  0.562	  0.490	  0.565	  0.329
       0:06.112	  0.904	  0.570	  0.484	  0.561	  0.339
       0:06.120	  0.882	  0.576	  0.520	  0.555	  0.355
       0:06.128	  0.858	  0.580	  0.616	  0.590	  0.269
       0:06.136	  0.835	  0.583	  0.484	  0.410	  0.596
       0:06.144	  0.810	  0.582	 -0.031	 -0.076	  1.504
       0:06.152	  0.787	  0.581	 -0.502	 -0.402	  1.504
       0:06.160	  0.764	  0.578	 -0.469	 -0.012	  1.504
       0:06.168	  0.742	  0.571	  0.114	  0.471	  0.606
       0:06.176	  0.722	  0.562	  0.365	  0.535	  0.410
       0:06.184	  0.702	  0.552	  0.435	  0.520	  0.394
       0:06.192	  0.681	  0.543	  0.471	  0.525	  0.375
       0:06.200	  0.662	  0.531	  0.500	  0.539	  0.349
       0:06.208	  0.642	  0.519	  0.520	  0.539	  0.349
       0:06.216	  0.623	  0.508	  0.520	  0.545	  0.345
       0:06.224	  0.605	  0.498	  0.520	  0.529	  0.359
       0:06.232	  0.587	  0.490	  0.506	  0.535	  0.355
       0:06.240	  0.573	  0.483	  0.506	  0.529	  0.365
       0:06.248	  0.557	  0.477	  0.500	  0.520	  0.390
       0:06.256	  0.544	  0.472	  0.510	  0.520	  0.380
       0:06.264	  0.530	  0.469	  0.520	  0.520	  0.384
       0:06.272	  0.517	  0.467	  0.506	  0.506	  0.404
       0:06.280	  0.503	  0.466	  0.500	  0.500	  0.410
       0:06.288	  0.493	  0.466	  0.500	  0.490	  0.404
       0:06.296	  0.482	  0.464	  0.500	  0.475	  0.461
       0:06.304	  0.473	  0.462	  0.494	  0.455	  0.484
       0:06.312	  0.464	  0.458	  0.500	  0.445	  0.500
       0:06.320	  0.456	  0.455	  0.500	  0.425	  0.529
       0:06.328	  0.450	  0.450	  0.500	  0.400	  0.571
       0:06.336	  0.443	  0.445	  0.490	  0.375	  0.610
       0:06.344	  0.437	  0.440	  0.484	  0.329	  0.680
       0:06.352	  0.432	  0.435	  0.484	  0.310	  0.716
       0:06.360	  0.427	  0.431	  0.490	  0.284	  0.751
       0:06.368	  0.423	  0.427	  0.484	  0.275	  0.767
       0:06.376	  0.419	  0.425	  0.500	  0.265	  0.776
       0:06.384	  0.416	  0.423	  0.494	  0.275	  0.767
       0:06.392	  0.413	  0.422	  0.500	  0.290	  0.735
       0:06.400	  0.411	  0.420	  0.494	  0.329	  0.690
       0:06.408	  0.409	  0.417	  0.500	  0.365	  0.629
       0:06.416	  0.408	  0.415	  0.484	  0.404	  0.571
       0:06.424	  0.406	  0.414	  0.490	  0.445	  0.510
       0:06.432	  0.406	  0.414	  0.494	  0.480	  0.465
       0:06.440	  0.405	  0.414	  0.500	  0.506	  0.420
       0:06.448	  0.405	  0.414	  0.500	  0.520	  0.390
       0:06.456	  0.406	  0.414	  0.506	  0.539	  0.359
       0:06.464	  0.406	  0.415	  0.510	  0.545	  0.355
       0:06.472	  0.407	  0.416	  0.510	  0.551	  0.349
       0:06.480	  0.407	  0.418	  0.520	  0.555	  0.339
       0:06.488	  0.407	  0.419	  0.516	  0.551	  0.345
       0:06.496	  0.407	  0.420	  0.520	  0.545	  0.355
       0:06.504	  0.407	  0.421	  0.510	  0.545	  0.365
       0:06.512	  0.406	  0.423	  0.516	  0.545	  0.359
       0:06.520	  0.405	  0.423	  0.510	  0.545	  0.359
       0:06.528	  0.403	  0.424	  0.510	  0.535	  0.375
       0:06.536	  0.401	  0.424	  0.510	  0.529	  0.380
       0:06.544	  0.398	  0.424	  0.520	  0.529	  0.390
       0:06.552	  0.395	  0.424	  0.510	  0.520	  0.404
       0:06.560	  0.391	  0.424	  0.510	  0.520	  0.410
       0:06.568	  0.388	  0.423	  0.510	  0.520	  0.400
       0:06.576	  0.382	  0.422	  0.520	  0.520	  0.394
       0:06.584	  0.377	  0.420	  0.516	  0.529	  0.384
       0:06.592	  0.370	  0.419	  0.520	  0.535	  0.380
       0:06.600	  0.363	  0.417	  0.520	  0.539	  0.371
       0:06.608	  0.354	  0.415	  0.520	  0.539	  0.365
       0:06.616	  0.346	  0.415	  0.520	  0.535	  0.375
       0:06.624	  0.336	  0.417	  0.535	  0.529	  0.390
       0:06.632	  0.327	  0.422	  0.555	  0.516	  0.404
       0:06.640	  0.320	  0.431	  0.571	  0.516	  0.416
       0:06.648	  0.311	  0.445	  0.590	  0.510	  0.404
       0:06.656	  0.303	  0.463	  0.590	  0.520	  0.400
       0:06.664	  0.296	  0.485	  0.561	  0.525	  0.380
       0:06.672	  0.289	  0.507	  0.539	  0.539	  0.355
       0:06.680	  0.283	  0.527	  0.506	  0.545	  0.355
       0:06.688	  0.278	  0.544	  0.484	  0.545	  0.349
       0:06.696	  0.273	  0.559	  0.471	  0.545	  0.375
       0:06.704	  0.269	  0.570	  0.461	  0.535	  0.384
       0:06.712	  0.266	  0.582	  0.475	  0.539	  0.371
       0:06.720	  0.263	  0.591	  0.484	  0.555	  0.349
       0:06.728	  0.261	  0.599	  0.494	  0.561	  0.339
       0:06.736	  0.260	  0.605	  0.484	  0.561	  0.355
       0:06.744	  0.259	  0.608	  0.490	  0.561	  0.349
       0:06.752	  0.259	  0.610	  0.480	  0.545	  0.359
       0:06.760	  0.259	  0.611	  0.584	  0.590	  0.278
       0:06.768	  0.258	  0.612	  0.620	  0.596	  0.265
       0:06.776	  0.258	  0.610	  0.345	  0.245	  0.922
       0:06.784	  0.258	  0.608	 -0.367	 -0.298	  1.504
       0:06.792	  0.258	  0.606	 -0.502	 -0.388	  1.504
       0:06.800	  0.257	  0.602	 -0.212	  0.265	  1.041
       0:06.808	  0.256	  0.597	  0.269	  0.525	  0.471
       0:06.816	  0.255	  0.590	  0.416	  0.535	  0.416
       0:06.824	  0.254	  0.581	  0.484	  0.539	  0.380
       0:06.832	  0.250	  0.569	  0.510	  0.539	  0.375
       0:06.840	  0.247	  0.557	  0.535	  0.545	  0.349
       0:06.848	  0.243	  0.544	  0.545	  0.555	  0.335
       0:06.856	  0.239	  0.531	  0.551	  0.565	  0.320
       0:06.864	  0.235	  0.519	  0.539	  0.545	  0.349
       0:06.872	  0.231	  0.509	  0.529	  0.545	  0.355
       0:06.880	  0.226	  0.501	  0.545	  0.539	  0.345
       0:06.888	  0.221	  0.495	  0.535	  0.525	  0.380
       0:06.896	  0.215	  0.489	  0.545	  0.525	  0.384
       0:06.904	  0.210	  0.485	  0.545	  0.520	  0.390
       0:06.912	  0.202	  0.481	  0.539	  0.506	  0.404
       0:06.920	  0.196	  0.478	  0.529	  0.500	  0.416
       0:06.928	  0.189	  0.475	  0.535	  0.500	  0.425
